loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,inq_last_6mths,pub_rec,total_acc,pub_rec_bankruptcies,issue_year,issue_month
10000,10000,9975,60,15.96,C,2,RENT,29120,Verified,0,debt_consolidation,FL,1,0,31,0,11,Dec
5000,5000,5000,36,8.9,A,2,RENT,24044,Verified,0,debt_consolidation,OR,0,0,16,0,11,Dec
7000,7000,7000,36,15.96,C,7,RENT,34000,Source Verified,0,credit_card,CA,1,0,6,0,11,Dec
12400,12400,12400,36,10.65,B,10+,RENT,41000,Not Verified,0,credit_card,KY,2,0,12,0,11,Dec
10800,10800,10800,36,9.91,B,2,RENT,55596,Source Verified,0,moving,CA,0,0,18,0,11,Dec
15000,15000,15000,36,7.9,A,1,RENT,45000,Verified,0,debt_consolidation,OH,0,0,27,0,11,Dec
6000,6000,6000,36,12.42,B,1,RENT,36852,Source Verified,0,debt_consolidation,AZ,1,0,12,0,11,Dec
12500,12500,12475,60,12.69,B,1,RENT,27000,Verified,0,debt_consolidation,IL,3,0,24,0,11,Dec
9600,9600,9600,36,7.51,A,4,RENT,68004,Source Verified,0,other,SC,0,0,11,0,11,Dec
12000,12000,12000,36,7.9,A,10+,RENT,62300,Not Verified,0,debt_consolidation,NJ,0,0,25,0,11,Dec
4400,4400,4400,36,16.77,D,10+,RENT,55000,Not Verified,0,debt_consolidation,RI,0,0,11,0,11,Dec
6000,6000,6000,36,6.03,A,10+,MORTGAGE,45600,Not Verified,0,debt_consolidation,LA,1,0,28,0,11,Dec
14000,14000,14000,36,9.91,B,6,RENT,80000,Not Verified,0,small_business,MA,1,0,40,0,11,Dec
5000,5000,5000,36,8.9,A,10+,MORTGAGE,100000,Source Verified,1,debt_consolidation,OH,0,0,35,0,11,Dec
10000,10000,10000,36,10.65,B,6,RENT,27000,Verified,0,other,NY,0,0,10,0,11,Dec
10000,10000,10000,36,6.03,A,10+,RENT,60000,Not Verified,0,credit_card,CT,1,0,18,0,11,Dec
11000,11000,11000,36,6.62,A,5,RENT,70000,Not Verified,0,debt_consolidation,CT,0,0,7,0,11,Dec
15000,15000,15000,36,9.91,B,8,MORTGAGE,80000,Not Verified,1,debt_consolidation,IL,2,0,28,0,11,Dec
25600,25600,25350,36,9.91,B,9,RENT,110000,Verified,0,credit_card,CA,0,0,27,0,11,Dec
7000,7000,7000,36,10.65,B,< 1,RENT,40000,Not Verified,0,debt_consolidation,CA,0,0,12,0,11,Dec
12000,12000,12000,36,15.96,C,4,RENT,50000,Not Verified,1,car,CA,2,0,11,0,11,Dec
12000,12000,12000,36,9.91,B,1,RENT,46000,Not Verified,0,credit_card,TX,1,0,12,0,11,Dec
21000,21000,20975,60,19.91,E,7,RENT,50000,Verified,1,debt_consolidation,WA,1,0,14,0,11,Dec
16000,16000,15950,60,19.91,E,7,RENT,81000,Verified,0,credit_card,MA,3,0,21,0,11,Dec
10000,10000,10000,36,12.42,B,< 1,OWN,39000,Not Verified,0,debt_consolidation,OR,0,0,10,0,11,Dec
10000,10000,10000,36,10.65,B,2,RENT,51400,Not Verified,0,credit_card,TX,3,0,24,0,11,Dec
7100,7100,7100,36,16.77,D,1,MORTGAGE,33000,Verified,0,debt_consolidation,TX,2,0,8,0,11,Dec
13000,13000,13000,60,12.69,B,< 1,MORTGAGE,30000,Source Verified,0,debt_consolidation,NJ,0,0,27,0,11,Dec
17675,17675,17675,60,14.65,C,< 1,RENT,50000,Source Verified,0,debt_consolidation,WI,2,0,14,0,11,Dec
8000,8000,8000,36,16.77,D,< 1,RENT,62000,Not Verified,0,debt_consolidation,VA,3,0,20,0,11,Dec
10000,10000,9975,60,10.65,B,10+,RENT,45996,Verified,1,debt_consolidation,OH,1,0,15,0,11,Dec
3500,3500,3500,36,10.65,B,7,MORTGAGE,55000,Not Verified,0,debt_consolidation,OH,1,0,12,0,11,Dec
12500,8925,8925,60,17.27,D,5,RENT,30000,Source Verified,1,debt_consolidation,MN,0,1,28,1,11,Dec
16425,16425,16425,36,14.27,C,4,RENT,44544,Source Verified,0,debt_consolidation,CA,1,0,18,0,11,Dec
8200,8200,8200,60,21.28,F,4,RENT,75000,Source Verified,1,small_business,CA,3,0,11,0,11,Dec
15000,15000,15000,36,14.65,C,2,OWN,61000,Verified,0,credit_card,FL,1,0,18,0,11,Dec
20975,13575,13550,60,17.58,D,5,MORTGAGE,44000,Verified,0,credit_card,GA,0,1,21,1,11,Dec
6400,6400,6400,36,16.77,D,5,RENT,75000,Not Verified,1,debt_consolidation,CA,0,0,27,0,11,Dec
3000,3000,3000,36,13.49,C,1,RENT,33600,Not Verified,0,debt_consolidation,AL,0,0,7,0,11,Dec
12000,12000,12000,36,16.77,D,3,RENT,50000,Not Verified,0,credit_card,MA,1,0,19,0,11,Dec
14400,14400,14400,36,8.9,A,< 1,OWN,150000,Source Verified,0,debt_consolidation,NY,0,0,38,0,11,Dec
12000,12000,12000,36,14.65,C,10+,RENT,90000,Not Verified,0,debt_consolidation,NJ,2,0,36,0,11,Dec
11000,11000,11000,36,13.49,C,10+,MORTGAGE,48000,Verified,0,debt_consolidation,TX,3,0,29,0,11,Dec
7250,7200,7175,60,21.67,F,< 1,RENT,75000,Verified,0,debt_consolidation,CA,2,1,19,1,11,Dec
15000,15000,15000,36,7.9,A,1,MORTGAGE,52000,Not Verified,0,small_business,TX,1,0,29,0,11,Dec
18000,18000,18000,60,19.91,E,10+,MORTGAGE,65000,Not Verified,0,debt_consolidation,FL,0,0,40,0,11,Dec
35000,22075,22050,60,17.27,D,3,MORTGAGE,150000,Verified,0,home_improvement,NY,1,0,31,0,11,Dec
10000,10000,10000,36,14.27,C,2,RENT,68000,Source Verified,0,credit_card,PA,1,0,15,0,11,Dec
11800,11800,11800,36,12.69,B,6,RENT,42000,Source Verified,0,credit_card,NY,0,0,13,0,11,Dec
4500,4500,4500,36,6.03,A,4,RENT,53000,Source Verified,0,major_purchase,CA,0,0,17,0,11,Dec
7000,7000,7000,36,12.69,B,10+,RENT,35000,Source Verified,0,credit_card,CA,2,0,26,0,11,Dec
9200,9200,9200,36,12.42,B,2,RENT,60000,Source Verified,0,debt_consolidation,CA,3,0,19,0,11,Dec
14000,14000,13975,60,17.27,D,4,RENT,28000,Verified,0,other,WA,2,0,10,0,11,Dec
4500,4500,4475,60,10.65,B,< 1,MORTGAGE,42000,Source Verified,0,car,TX,0,0,9,0,11,Dec
12000,12000,12000,36,16.29,D,9,RENT,88365,Verified,0,debt_consolidation,AZ,0,0,15,0,11,Dec
12000,12000,12000,36,13.49,C,4,RENT,72000,Source Verified,0,debt_consolidation,CA,1,0,19,0,11,Dec
12000,12000,12000,36,10.65,B,< 1,RENT,62000,Verified,0,credit_card,TX,0,0,51,0,11,Dec
7000,7000,7000,36,10.65,B,3,MORTGAGE,43680,Not Verified,0,credit_card,MN,0,0,11,0,11,Dec
8200,8200,8200,60,19.42,E,3,RENT,120000,Source Verified,0,debt_consolidation,NY,2,0,6,0,11,Dec
10500,10500,10500,36,12.69,B,10+,RENT,66000,Verified,0,medical,CA,2,0,26,0,11,Dec
7000,7000,7000,36,11.71,B,4,OWN,39120,Not Verified,0,debt_consolidation,FL,0,1,26,0,11,Dec
15300,15300,15275,60,22.06,F,6,RENT,85000,Verified,0,credit_card,VA,2,0,27,0,11,Dec
20000,12800,12775,60,11.71,B,4,MORTGAGE,47800,Verified,0,debt_consolidation,VA,0,0,27,0,11,Dec
17500,17500,17500,60,17.27,D,7,MORTGAGE,45000,Not Verified,1,credit_card,WA,2,0,26,0,11,Dec
3500,3500,3500,36,6.03,A,10+,MORTGAGE,83000,Verified,0,car,IL,0,0,28,0,11,Dec
6000,6000,6000,60,12.69,B,< 1,RENT,81000,Source Verified,0,major_purchase,CO,0,0,17,0,11,Dec
6200,6200,6200,36,9.91,B,2,RENT,25000,Not Verified,1,debt_consolidation,CA,2,0,12,0,11,Dec
16000,16000,16000,60,17.58,D,7,RENT,65000,Not Verified,0,debt_consolidation,KS,0,0,16,0,11,Dec
6000,6000,6000,36,8.9,A,8,OWN,28800,Not Verified,0,debt_consolidation,NJ,0,0,13,0,11,Dec
7200,7200,7200,36,9.91,B,6,RENT,135000,Not Verified,0,credit_card,NY,0,0,18,0,11,Dec
9500,9500,9500,36,8.9,A,7,MORTGAGE,50000,Not Verified,0,credit_card,TX,0,0,13,0,11,Dec
18825,18825,18800,60,16.77,D,10+,RENT,38000,Verified,1,debt_consolidation,TX,0,0,7,0,11,Dec
24000,24000,24000,36,10.65,B,10+,RENT,45000,Verified,0,debt_consolidation,CA,0,0,9,0,11,Dec
6000,6000,6000,36,13.49,C,10+,RENT,80000,Not Verified,0,debt_consolidation,CA,0,0,16,0,11,Dec
6000,6000,6000,36,13.49,C,5,RENT,50000,Not Verified,0,debt_consolidation,AZ,1,0,7,0,11,Dec
2100,2100,2100,36,12.42,B,10+,MORTGAGE,30000,Not Verified,0,vacation,LA,1,0,26,0,11,Dec
11000,11000,11000,36,6.62,A,8,OWN,45608,Source Verified,0,debt_consolidation,LA,0,0,11,0,11,Dec
26800,26800,26800,60,20.89,F,3,MORTGAGE,120000,Verified,0,debt_consolidation,FL,0,0,18,0,11,Dec
8000,8000,8000,36,12.69,B,5,MORTGAGE,35000,Not Verified,0,debt_consolidation,IL,0,0,18,0,11,Dec
10000,10000,10000,36,18.25,D,1,RENT,75000,Source Verified,1,credit_card,CA,0,0,26,0,11,Dec
8000,8000,8000,36,11.71,B,9,MORTGAGE,35000,Verified,0,credit_card,NV,0,0,8,0,11,Dec
10000,10000,10000,36,8.9,A,6,RENT,24000,Verified,0,debt_consolidation,CA,0,0,21,0,11,Dec
12000,12000,12000,36,11.71,B,2,MORTGAGE,126000,Not Verified,0,debt_consolidation,OH,0,0,38,0,11,Dec
10000,10000,10000,36,7.9,A,1,RENT,43000,Not Verified,0,debt_consolidation,CA,0,0,16,0,11,Dec
12000,12000,12000,36,9.91,B,1,RENT,50000,Not Verified,0,debt_consolidation,CA,1,0,25,0,11,Dec
25000,25000,23088.16106,60,13.49,C,10+,MORTGAGE,67000,Verified,1,credit_card,AK,0,0,21,0,11,Dec
19750,19750,19725,36,10.65,B,4,RENT,45000,Verified,1,debt_consolidation,OR,0,0,28,0,11,Dec
10000,10000,10000,36,9.91,B,3,RENT,31200,Source Verified,0,debt_consolidation,NY,0,0,19,0,11,Dec
13650,13650,13650,36,12.42,B,4,RENT,66000,Verified,0,debt_consolidation,NV,0,0,34,0,11,Dec
28000,11800,11775,60,19.91,E,10+,RENT,52000,Verified,1,debt_consolidation,TX,0,0,16,0,11,Dec
18000,18000,18000,36,7.9,A,10+,RENT,56964,Source Verified,0,debt_consolidation,CA,0,0,20,0,11,Dec
2500,2500,2500,36,14.27,C,7,RENT,49500,Source Verified,0,debt_consolidation,FL,1,0,20,0,11,Dec
21000,21000,20120.80657,60,20.3,E,10+,RENT,70000,Verified,0,credit_card,CO,2,0,25,0,11,Dec
35000,35000,35000,36,8.9,A,6,MORTGAGE,125000,Verified,0,debt_consolidation,CA,0,0,32,0,11,Dec
10000,10000,10000,36,7.51,A,3,RENT,33000,Not Verified,0,credit_card,NJ,1,0,19,0,11,Dec
7000,7000,7000,36,12.69,B,< 1,RENT,30000,Source Verified,0,credit_card,VA,2,0,11,0,11,Dec
24000,24000,24000,36,15.96,C,8,MORTGAGE,90000,Source Verified,1,home_improvement,CA,1,0,23,0,11,Dec
10625,10625,10625,36,7.51,A,5,MORTGAGE,23000,Not Verified,0,medical,OR,1,0,21,0,11,Dec
5000,5000,5000,36,14.65,C,2,RENT,24000,Source Verified,0,debt_consolidation,PA,2,0,9,0,11,Dec
8850,8850,8850,36,6.62,A,10+,RENT,62000,Source Verified,0,credit_card,MD,0,0,19,0,11,Dec
6375,6375,6375,36,7.51,A,4,RENT,44000,Source Verified,0,debt_consolidation,GA,0,0,11,0,11,Dec
6000,6000,6000,36,11.71,B,1,RENT,90000,Not Verified,0,credit_card,NJ,0,0,23,0,11,Dec
11100,11100,11100,36,6.62,A,10+,RENT,41000,Verified,1,credit_card,PA,1,0,18,0,11,Dec
10000,10000,10000,60,12.69,B,2,MORTGAGE,56000,Source Verified,0,debt_consolidation,CA,1,0,18,0,11,Dec
6200,6200,6200,36,6.03,A,5,MORTGAGE,26500,Not Verified,0,small_business,WV,0,0,18,0,11,Dec
15000,15000,15000,36,18.64,E,1,RENT,54000,Not Verified,0,debt_consolidation,GA,2,0,12,0,11,Dec
4200,4200,4200,36,11.71,B,2,RENT,53000,Not Verified,0,other,MD,0,0,22,0,11,Dec
14000,14000,14000,36,14.27,C,4,RENT,52800,Not Verified,0,debt_consolidation,CA,1,0,14,0,11,Dec
8875,8875,8875,36,7.51,A,1,MORTGAGE,38000,Not Verified,0,debt_consolidation,GA,1,0,27,0,11,Dec
13500,13500,13500,36,9.91,B,7,RENT,38000,Verified,0,debt_consolidation,CA,1,0,7,0,11,Dec
12000,12000,12000,36,9.91,B,2,RENT,42000,Not Verified,1,debt_consolidation,MN,2,0,16,0,11,Dec
16000,16000,15975,60,19.91,E,4,RENT,55000,Verified,0,debt_consolidation,WA,0,0,19,0,11,Dec
21600,21600,20498.26578,60,19.42,E,8,MORTGAGE,60000,Source Verified,0,debt_consolidation,GA,0,0,21,0,11,Dec
6000,6000,6000,36,10.65,B,6,MORTGAGE,87000,Not Verified,0,home_improvement,NJ,0,0,22,0,11,Dec
8450,8450,8425,60,16.77,D,5,OWN,25000,Verified,0,debt_consolidation,IL,2,0,21,0,11,Dec
20000,20000,18590.33777,60,13.49,C,1,RENT,82000,Not Verified,0,credit_card,OH,0,0,23,0,11,Dec
10000,10000,10000,36,11.71,B,8,RENT,60000,Not Verified,1,debt_consolidation,CA,0,0,26,0,11,Dec
12000,12000,12000,36,16.29,D,5,MORTGAGE,80000,Verified,0,credit_card,GA,0,0,11,0,11,Dec
13475,13475,13450,60,13.49,C,10+,RENT,25000,Verified,1,credit_card,CA,1,0,14,0,11,Dec
7200,7200,7200,36,12.42,B,5,RENT,48000,Not Verified,0,major_purchase,IL,1,0,10,0,11,Dec
5600,5600,5600,36,14.65,C,1,MORTGAGE,85000,Not Verified,1,debt_consolidation,AZ,3,0,31,0,11,Dec
12000,12000,11975,36,14.27,C,< 1,RENT,57000,Verified,0,debt_consolidation,CA,1,0,11,0,11,Dec
8500,8500,8500,36,6.03,A,2,RENT,25000,Not Verified,0,credit_card,MD,0,0,18,0,11,Dec
8000,8000,8000,36,9.91,B,2,RENT,34000,Source Verified,0,credit_card,PA,0,0,7,0,11,Dec
8000,8000,8000,36,12.42,B,10+,RENT,40000,Not Verified,0,credit_card,OR,0,0,11,0,11,Dec
16000,16000,8150,60,15.27,C,10+,RENT,42656.4,Source Verified,0,debt_consolidation,GA,1,0,17,0,11,Dec
15000,15000,15000,36,17.27,D,2,MORTGAGE,44400,Source Verified,0,house,FL,0,1,16,1,11,Dec
10000,10000,10000,36,9.91,B,2,OWN,30000,Not Verified,0,debt_consolidation,VT,1,0,30,0,11,Dec
10000,10000,10000,36,6.62,A,5,MORTGAGE,70000,Not Verified,0,credit_card,NY,0,0,18,0,11,Dec
8000,8000,8000,36,14.65,C,3,RENT,28000,Not Verified,0,car,CA,1,0,11,0,11,Dec
22000,22000,22000,36,9.91,B,2,MORTGAGE,50000,Verified,0,debt_consolidation,MI,4,0,32,0,11,Dec
6000,6000,6000,36,14.27,C,10+,MORTGAGE,94800,Verified,0,car,TX,1,0,30,0,11,Dec
16000,16000,15975,60,9.91,B,10+,OWN,40000,Verified,0,debt_consolidation,FL,1,0,23,0,11,Dec
13500,13500,13500,36,9.91,B,2,MORTGAGE,36000,Source Verified,0,credit_card,DC,1,0,15,0,11,Dec
25000,25000,25000,36,12.42,B,2,RENT,225000,Verified,0,debt_consolidation,NJ,0,0,23,0,11,Dec
10000,10000,10000,36,13.49,C,2,RENT,45900,Verified,0,small_business,CA,2,0,12,0,11,Dec
2500,2500,2500,36,13.49,C,4,RENT,27200,Not Verified,0,debt_consolidation,WA,0,0,6,0,11,Dec
7325,7325,7325,36,12.69,B,1,RENT,42000,Not Verified,0,debt_consolidation,FL,3,0,29,0,11,Dec
4000,4000,4000,36,12.42,B,5,RENT,135000,Verified,0,credit_card,NY,3,0,21,0,11,Dec
10000,10000,10000,36,13.49,C,5,RENT,65000,Not Verified,1,small_business,CA,2,0,17,0,11,Dec
7750,7750,7750,36,17.27,D,< 1,RENT,24000,Not Verified,1,debt_consolidation,IL,1,0,7,0,11,Dec
20000,20000,20000,60,20.89,F,6,RENT,70000,Source Verified,1,debt_consolidation,FL,1,0,24,0,11,Dec
9600,9600,9600,36,12.42,B,10+,RENT,65000,Verified,0,debt_consolidation,NY,0,0,11,0,11,Dec
21000,21000,21000,60,11.71,B,3,RENT,60000,Not Verified,1,debt_consolidation,CA,0,0,11,0,11,Dec
14000,14000,14000,36,10.65,B,3,RENT,30000,Source Verified,0,credit_card,CT,0,0,14,0,11,Dec
13350,13350,13350,36,12.42,B,10+,RENT,43000,Not Verified,0,debt_consolidation,CA,0,0,15,0,11,Dec
15000,15000,15000,36,16.77,D,10+,RENT,42000,Verified,1,debt_consolidation,WI,2,0,38,0,11,Dec
15000,15000,15000,36,17.27,D,8,RENT,75000,Source Verified,1,debt_consolidation,CA,0,0,17,0,11,Dec
11000,11000,10750,60,13.49,C,10+,MORTGAGE,129000,Verified,0,debt_consolidation,CA,0,0,31,0,11,Dec
35000,35000,35000,36,10.65,B,2,MORTGAGE,168000,Verified,0,debt_consolidation,TX,1,0,22,0,11,Dec
22475,22475,22425,60,15.27,C,7,MORTGAGE,52000,Verified,0,debt_consolidation,NH,1,0,23,0,11,Dec
16000,16000,16000,36,12.69,B,1,RENT,58500,Source Verified,1,debt_consolidation,IL,0,0,10,0,11,Dec
13500,13500,13500,36,12.69,B,5,RENT,71000,Source Verified,0,debt_consolidation,VA,2,0,11,0,11,Dec
24000,24000,24000,36,12.69,B,10+,RENT,75000,Verified,0,debt_consolidation,WA,0,0,33,0,11,Dec
12000,12000,12000,36,10.65,B,5,RENT,60000,Not Verified,0,credit_card,CA,1,0,18,0,11,Dec
8400,8400,8150,60,16.77,D,5,RENT,87996,Not Verified,0,major_purchase,NY,0,0,13,0,11,Dec
28000,28000,27975,60,17.58,D,5,MORTGAGE,140000,Verified,0,home_improvement,NC,1,0,24,0,11,Dec
14000,14000,14000,36,6.62,A,10+,RENT,66000,Source Verified,0,debt_consolidation,VA,1,0,46,0,11,Dec
12000,12000,12000,36,14.27,C,8,MORTGAGE,70000,Not Verified,1,other,NY,1,0,12,0,11,Dec
25000,25000,25000,36,11.71,B,10+,MORTGAGE,100000,Verified,0,debt_consolidation,RI,1,0,18,0,11,Dec
9000,9000,9000,36,12.69,B,5,RENT,50000,Source Verified,0,debt_consolidation,NY,1,0,21,0,11,Dec
13250,13250,13250,36,10.65,B,4,RENT,35000,Not Verified,0,debt_consolidation,OH,2,0,25,0,11,Dec
3000,3000,3000,36,14.65,C,5,RENT,71000,Verified,0,medical,WI,1,0,14,0,11,Dec
7350,7350,7350,36,10.65,B,10+,MORTGAGE,48000,Not Verified,0,debt_consolidation,AR,0,0,5,0,11,Dec
11500,11500,11500,36,15.27,C,5,RENT,36000,Not Verified,0,debt_consolidation,FL,1,0,14,0,11,Dec
13650,13650,13650,36,12.42,B,10+,MORTGAGE,86000,Not Verified,1,debt_consolidation,CA,1,0,34,0,11,Dec
10500,10500,10500,36,16.29,D,3,RENT,30000,Source Verified,1,debt_consolidation,CA,1,0,8,0,11,Dec
12000,12000,11975,36,9.91,B,2,RENT,60000,Not Verified,0,debt_consolidation,CA,0,0,21,0,11,Dec
6000,6000,6000,36,8.9,A,3,RENT,34000,Not Verified,0,credit_card,OH,2,0,16,0,11,Dec
11500,11500,11500,36,15.27,C,10+,MORTGAGE,44200,Verified,0,credit_card,CA,1,0,11,0,11,Dec
7000,7000,7000,36,12.42,B,7,MORTGAGE,82000,Not Verified,0,debt_consolidation,MD,1,0,31,0,11,Dec
29500,29500,28513.45925,60,20.3,E,6,MORTGAGE,83000,Source Verified,0,debt_consolidation,NM,0,0,35,0,11,Dec
2000,2000,2000,36,15.27,C,2,RENT,41000,Verified,0,moving,TX,1,0,11,0,11,Dec
11625,11625,11625,36,13.49,C,< 1,MORTGAGE,36000,Source Verified,0,credit_card,KS,1,0,31,0,11,Dec
15075,15075,15075,36,14.27,C,10+,RENT,35000,Verified,1,debt_consolidation,TX,1,0,14,0,11,Dec
5300,5300,5300,36,15.27,C,1,RENT,30000,Verified,0,credit_card,CT,2,0,13,0,11,Dec
8200,8200,8200,36,6.62,A,< 1,RENT,40000,Source Verified,0,home_improvement,PA,1,0,11,0,11,Dec
12000,12000,12000,36,12.42,B,9,MORTGAGE,105000,Not Verified,0,credit_card,TX,1,0,25,0,11,Dec
8650,8650,8650,36,14.27,C,4,MORTGAGE,45000,Source Verified,0,credit_card,FL,2,0,23,0,11,Dec
21000,11800,11500,60,17.27,D,10+,MORTGAGE,109000,Verified,0,debt_consolidation,NJ,0,0,16,0,11,Dec
16000,16000,16000,60,17.27,D,2,RENT,50000,Source Verified,0,debt_consolidation,TX,0,0,16,0,11,Dec
12000,12000,11975,36,12.42,B,2,RENT,83000,Not Verified,0,debt_consolidation,CA,2,0,61,0,11,Dec
9500,9500,9500,36,12.69,B,< 1,MORTGAGE,52500,Source Verified,1,moving,CA,2,0,42,0,11,Dec
7400,7400,7400,36,13.49,C,< 1,OWN,25000,Source Verified,0,debt_consolidation,AZ,0,0,13,0,11,Dec
14400,14400,14400,36,13.49,C,10+,MORTGAGE,60000,Not Verified,0,debt_consolidation,FL,1,0,26,0,11,Dec
24250,18100,18075,60,23.91,G,7,MORTGAGE,120000,Verified,0,debt_consolidation,AZ,3,0,20,0,11,Dec
7200,7200,7200,36,7.9,A,3,RENT,68000,Source Verified,1,debt_consolidation,GA,0,0,14,0,11,Dec
26000,26000,25975,60,16.77,D,10+,MORTGAGE,53000,Verified,1,home_improvement,NC,1,0,14,0,11,Dec
7000,7000,6975,60,11.71,B,6,MORTGAGE,69600,Verified,1,credit_card,WA,0,0,23,0,11,Dec
4000,4000,4000,36,7.51,A,< 1,RENT,65000,Source Verified,0,major_purchase,CA,0,0,24,0,11,Dec
1500,1500,1500,36,17.27,D,10+,MORTGAGE,144000,Verified,0,debt_consolidation,CA,0,0,14,0,11,Dec
19600,19600,19600,36,12.42,B,2,RENT,75000,Verified,0,credit_card,NY,0,0,12,0,11,Dec
2500,2500,2500,36,11.71,B,7,MORTGAGE,29000,Verified,0,debt_consolidation,AZ,0,0,13,0,11,Dec
10000,10000,10000,36,12.69,B,2,RENT,70000,Not Verified,1,credit_card,CA,0,0,6,0,11,Dec
10000,10000,10000,36,6.62,A,5,RENT,45000,Not Verified,0,credit_card,OH,0,0,40,0,11,Dec
4225,4225,4225,36,12.42,B,5,MORTGAGE,55200,Not Verified,0,other,WA,1,0,12,0,11,Dec
3500,3500,3500,36,7.9,A,7,MORTGAGE,61440,Not Verified,0,vacation,CA,0,0,19,0,11,Dec
12000,12000,12000,36,6.62,A,10+,MORTGAGE,56000,Not Verified,0,debt_consolidation,FL,0,0,21,0,11,Dec
16500,16500,16500,36,8.9,A,< 1,RENT,47000,Source Verified,0,debt_consolidation,IL,1,0,24,0,11,Dec
22000,22000,21975,60,21.67,F,< 1,RENT,55000,Verified,0,debt_consolidation,WA,1,0,27,0,11,Dec
12000,12000,12000,36,14.65,C,1,RENT,71000,Verified,0,credit_card,KS,2,0,38,0,11,Dec
15600,15600,15600,60,12.69,B,10+,RENT,50000,Source Verified,1,vacation,NY,1,0,11,0,11,Dec
10800,10800,10800,36,12.42,B,8,RENT,135000,Verified,0,credit_card,CA,0,0,23,0,11,Dec
14000,14000,14000,36,12.42,B,10+,MORTGAGE,63000,Not Verified,0,credit_card,GA,0,0,19,0,11,Dec
18825,18825,18800,60,17.58,D,4,MORTGAGE,44000,Verified,0,debt_consolidation,NY,0,0,20,0,11,Dec
12000,12000,12000,36,9.91,B,5,RENT,80000,Not Verified,0,debt_consolidation,TX,0,0,21,0,11,Dec
10000,10000,10000,36,12.42,B,4,RENT,45000,Not Verified,0,debt_consolidation,WA,0,0,19,0,11,Dec
8000,8000,8000,36,7.9,A,2,RENT,78000,Not Verified,0,vacation,NY,1,0,31,0,11,Dec
